Neighbourhood,Borough,Population
West End,Central,44543
Central Business District,Central,54690
Hastings-Sunrise,East Side,33992
Grandview-Woodland,East Side,27297
Mount Pleasant,East Side,26400
Strathcona,East Side,12170
Shaughnessy,West Side,8807
Sunset,East Side,36286
Fairview,West Side,31432
Oakridge,West Side,12443
Marpole,West Side,23832
Kensington-Cedar Cottage,East Side,47471
Kitsilano,West Side,41371
Victoria-Fraserview,South Vancouver,30711
Kerrisdale,West Side,14732
West Point Grey,West Side,12803
Riley Park,East Side,21794
Arbutus Ridge,West Side,15908
Renfrew-Collingwood,East Side,50495
Killarney,South Vancouver,28458
South Cambie,West Side,7682
Dunbar-Southlands,West Side,21754
Stanley Park,Central,23
Musqueam,South Vancouver,1652
